model,dx,dy,accuracy
vit_abspos_center_cpu,-6,12,0.17
vit_abspos_center_cpu,0,12,0.2818
vit_abspos_center_cpu,6,12,0.226
vit_abspos_center_cpu,12,12,0.1731
vit_abspos_center_cpu,18,12,0.149
vit_abspos_center_cpu,-18,18,0.1579
vit_abspos_center_cpu,-12,18,0.1617
vit_abspos_center_cpu,-6,18,0.1605
vit_abspos_center_cpu,0,18,0.2545
vit_abspos_center_cpu,6,18,0.2333
vit_abspos_center_cpu,12,18,0.1615
vit_abspos_center_cpu,18,18,0.161
vit_aug_cpu,-18,-18,0.6757
vit_aug_cpu,-12,-18,0.6827
vit_aug_cpu,-6,-18,0.6801
vit_aug_cpu,0,-18,0.6829
vit_aug_cpu,6,-18,0.6839
vit_aug_cpu,12,-18,0.6736
vit_aug_cpu,18,-18,0.6866
vit_aug_cpu,-18,-12,0.7108
vit_aug_cpu,-12,-12,0.7208
vit_aug_cpu,-6,-12,0.7303
vit_aug_cpu,0,-12,0.7276
vit_aug_cpu,6,-12,0.7233
vit_aug_cpu,12,-12,0.7255
vit_aug_cpu,18,-12,0.7155
vit_aug_cpu,-18,-6,0.7095
vit_aug_cpu,-12,-6,0.7188
vit_aug_cpu,-6,-6,0.7222
vit_aug_cpu,0,-6,0.7165
vit_aug_cpu,6,-6,0.7192
vit_aug_cpu,12,-6,0.7222
vit_aug_cpu,18,-6,0.7175
vit_aug_cpu,-18,0,0.7275
vit_aug_cpu,-12,0,0.7234
vit_aug_cpu,-6,0,0.7145
vit_aug_cpu,0,0,0.71
vit_aug_cpu,6,0,0.7198
vit_aug_cpu,12,0,0.7197
vit_aug_cpu,18,0,0.7296
vit_aug_cpu,-18,6,0.7171
vit_aug_cpu,-12,6,0.717
vit_aug_cpu,-6,6,0.7198
vit_aug_cpu,0,6,0.707
vit_aug_cpu,6,6,0.7257
vit_aug_cpu,12,6,0.728
vit_aug_cpu,18,6,0.7291
vit_aug_cpu,-18,12,0.7218
vit_aug_cpu,-12,12,0.7263
vit_aug_cpu,-6,12,0.7281
vit_aug_cpu,0,12,0.7242
vit_aug_cpu,6,12,0.7373
vit_aug_cpu,12,12,0.7335
vit_aug_cpu,18,12,0.7343
vit_aug_cpu,-18,18,0.712
vit_aug_cpu,-12,18,0.7163
vit_aug_cpu,-6,18,0.7092
vit_aug_cpu,0,18,0.6959
vit_aug_cpu,6,18,0.7157
vit_aug_cpu,12,18,0.7224
vit_aug_cpu,18,18,0.7329
vit_meanpool_cpu,-18,-18,0.6745
vit_meanpool_cpu,-12,-18,0.6862
vit_meanpool_cpu,-6,-18,0.6697
vit_meanpool_cpu,0,-18,0.6751
vit_meanpool_cpu,6,-18,0.6897
vit_meanpool_cpu,12,-18,0.6741
vit_meanpool_cpu,18,-18,0.6787
vit_meanpool_cpu,-18,-12,0.7193
vit_meanpool_cpu,-12,-12,0.7363
vit_meanpool_cpu,-6,-12,0.73
vit_meanpool_cpu,0,-12,0.7163
vit_meanpool_cpu,6,-12,0.7272
vit_meanpool_cpu,12,-12,0.7248
vit_meanpool_cpu,18,-12,0.7271
vit_meanpool_cpu,-18,-6,0.7217
vit_meanpool_cpu,-12,-6,0.7388
vit_meanpool_cpu,-6,-6,0.7162
vit_meanpool_cpu,0,-6,0.7141
vit_meanpool_cpu,6,-6,0.7348
vit_meanpool_cpu,12,-6,0.7248
vit_meanpool_cpu,18,-6,0.7163
vit_meanpool_cpu,-18,0,0.725
vit_meanpool_cpu,-12,0,0.7249
vit_meanpool_cpu,-6,0,0.7083
vit_meanpool_cpu,0,0,0.7171
vit_meanpool_cpu,6,0,0.7329
vit_meanpool_cpu,12,0,0.7278
vit_meanpool_cpu,18,0,0.722
vit_meanpool_cpu,-18,6,0.7198
vit_meanpool_cpu,-12,6,0.7328
vit_meanpool_cpu,-6,6,0.7144
vit_meanpool_cpu,0,6,0.7091
vit_meanpool_cpu,6,6,0.7265
vit_meanpool_cpu,12,6,0.7267
vit_meanpool_cpu,18,6,0.7287
vit_meanpool_cpu,-18,12,0.7331
vit_meanpool_cpu,-12,12,0.7454
vit_meanpool_cpu,-6,12,0.7268
vit_meanpool_cpu,0,12,0.7112
vit_meanpool_cpu,6,12,0.7259
vit_meanpool_cpu,12,12,0.7259
vit_meanpool_cpu,18,12,0.738
vit_meanpool_cpu,-18,18,0.7074
vit_meanpool_cpu,-12,18,0.7267
vit_meanpool_cpu,-6,18,0.713
vit_meanpool_cpu,0,18,0.6871
vit_meanpool_cpu,6,18,0.6962
vit_meanpool_cpu,12,18,0.7102
vit_meanpool_cpu,18,18,0.7175
hybrid_vit_cpu,-18,-18,0.8365
hybrid_vit_cpu,-12,-18,0.8476
hybrid_vit_cpu,-6,-18,0.8286
hybrid_vit_cpu,0,-18,0.8299
hybrid_vit_cpu,6,-18,0.8274
hybrid_vit_cpu,12,-18,0.8387
hybrid_vit_cpu,18,-18,0.8337
hybrid_vit_cpu,-18,-12,0.8603
hybrid_vit_cpu,-12,-12,0.8661
hybrid_vit_cpu,-6,-12,0.863
hybrid_vit_cpu,0,-12,0.86
hybrid_vit_cpu,6,-12,0.8579
hybrid_vit_cpu,12,-12,0.8664
hybrid_vit_cpu,18,-12,0.8532
hybrid_vit_cpu,-18,-6,0.8608
hybrid_vit_cpu,-12,-6,0.8686
hybrid_vit_cpu,-6,-6,0.8627
hybrid_vit_cpu,0,-6,0.8602
hybrid_vit_cpu,6,-6,0.8578
hybrid_vit_cpu,12,-6,0.8656
hybrid_vit_cpu,18,-6,0.8597
hybrid_vit_cpu,-18,0,0.8597
hybrid_vit_cpu,-12,0,0.8675
hybrid_vit_cpu,-6,0,0.8586
hybrid_vit_cpu,0,0,0.8605
hybrid_vit_cpu,6,0,0.8569
hybrid_vit_cpu,12,0,0.8666
hybrid_vit_cpu,18,0,0.8581
hybrid_vit_cpu,-18,6,0.8625
hybrid_vit_cpu,-12,6,0.8665
hybrid_vit_cpu,-6,6,0.8579
hybrid_vit_cpu,0,6,0.8595
hybrid_vit_cpu,6,6,0.8573
hybrid_vit_cpu,12,6,0.8692
hybrid_vit_cpu,18,6,0.8603
hybrid_vit_cpu,-18,12,0.8591
hybrid_vit_cpu,-12,12,0.8638
hybrid_vit_cpu,-6,12,0.8579
hybrid_vit_cpu,0,12,0.8577
hybrid_vit_cpu,6,12,0.8565
hybrid_vit_cpu,12,12,0.868
hybrid_vit_cpu,18,12,0.8581
hybrid_vit_cpu,-18,18,0.8341
hybrid_vit_cpu,-12,18,0.8406
hybrid_vit_cpu,-6,18,0.8423
hybrid_vit_cpu,0,18,0.8418
hybrid_vit_cpu,6,18,0.8397
hybrid_vit_cpu,12,18,0.8418
hybrid_vit_cpu,18,18,0.8358
